scenario,expected_profit,prob_loss,var_5,es_5,dr_mean,cac_mean,funding_cost_mean
Baseline,-1615713.5460580573,0.86925,-3980905.023258093,-4578358.20175395,0.06,250.0,0.06
Competitive Pressure,-3351634.4054506994,0.9767,-6113717.723513671,-6808440.416341479,0.06,337.5,0.06
Rate Spike,-4209943.916515142,0.99535,-6858012.7273581745,-7559858.849632553,0.06999999999999999,262.5,0.09
Credit Deterioration,-5096684.300691531,0.99835,-7898418.690932505,-8626813.088815818,0.11,250.0,0.06
Recession,-6745607.386488682,0.99975,-9970898.297461022,-10762676.634284575,0.1,312.5,0.08
